Quantized Model Metrics,Value,Status,Meaning,Expected Values / Thresholds
"MAE_H (rolling24 firmware, test mean)",0.1567,,Mean Rolling(24) MAE for H_in across the full test set.,→ Lower is better (mean across windows for H_in).
"RMSE_H (rolling24 firmware, test mean)",0.1911,,Mean Rolling(24) RMSE for H_in across the full test set.,→ Lower is better (mean across windows for H_in).
"R²_H (rolling24 firmware, test mean)",0.8563,,Mean Rolling(24) R² for H_in across the full test set.,→ May be NaN under low-variance conditions.
Sparsity before strip (%),46.63 %,,Percentage of zero-valued weights before applying strip_pruning.,"→ In general, > 50% supports meaningful compression gains."
Sparsity after strip (%),46.63 %,,Percentage of zero-valued weights after removing pruning operations.,→ Ideally close to the target final sparsity.
Model size (KB),6.46 KB,,Final model file size in kilobytes (KB).,→ Preferably < 256 KB on constrained MCUs.
Original model size (KB),74.46 KB,,Original model file size (.keras) in kilobytes (KB).,→ Reference value for comparison with the quantized model.
Mean training loss,0.0116,,Mean training loss over the last training epochs.,"→ Low value preferred (e.g., < 0.01)."
Mean validation loss,0.0125,,Mean validation loss over the last validation epochs.,→ Should remain close to the training loss.
Absolute gap,0.0009,,Absolute difference between mean losses.,→ < 0.05 is good.
Percentage gap (%),7.76 %,,Percentage gap between validation and training losses.,→ < 10% is excellent.
Total inference time (ms),400.13 ms,,Total time required to infer all test samples.,→ Lower is better.
Inference time per sample (ms),0.20 ms,,Mean time required to infer one sample.,→ < 1 ms is ideal in TinyML scenarios.
Fit status,,Well-fitted model (generalization gap < 10%),"Diagnosis based on the gap/loss pattern: fitted, overfitting, or underfitting.",→ 'Fitted' when the gap is low and losses are stable.
Model status,,Performance thresholds satisfied,Overall diagnosis considering predefined MSE/RMSE/MAE/R² limits.,→ 'Performance thresholds satisfied' when the model satisfies the predefined limits.
