Base Model Metrics,Value,Status,Meaning,Expected Values
"MAE (rolling24 firmware, test mean)",0.1497,,Rolling(24) aggregate (T+H) MEAN over the test set (mean across windows).,→ Lower is better (window mean).
"RMSE (rolling24 firmware, test mean)",0.1920,,Rolling(24) aggregate (T+H) MEAN over the test set (mean across windows).,→ Lower is better (window mean).
"R² (rolling24 firmware, test mean)",0.5844,,Rolling(24) aggregate (T+H) MEAN over the test set (mean across windows).,→ May be NaN if variance is low (same as firmware).
"MAE_T (rolling24 firmware, test mean)",0.1432,,Rolling(24) T_in MEAN over the test set (mean across windows).,→ Lower is better (window mean T_in).
"RMSE_T (rolling24 firmware, test mean)",0.1876,,Rolling(24) T_in MEAN over the test set (mean across windows).,→ Lower is better (window mean T_in).
"R²_T (rolling24 firmware, test mean)",0.3098,,Rolling(24) T_in MEAN over the test set (mean across windows).,→ May be NaN if variance is low (same as firmware).
"MAE_H (rolling24 firmware, test mean)",0.1563,,Rolling(24) H_in MEAN over the test set (mean across windows).,→ Lower is better (window mean H_in).
"RMSE_H (rolling24 firmware, test mean)",0.1905,,Rolling(24) H_in MEAN over the test set (mean across windows).,→ Lower is better (window mean H_in).
"R²_H (rolling24 firmware, test mean)",0.8590,,Rolling(24) H_in MEAN over the test set (mean across windows).,→ May be NaN if variance is low (same as firmware).
Model size (KB),74.29 KB,,Size of the model file saved on disk (proxy for FLASH/storage).,→ Smaller is better (TinyML: smaller KB values ease deployment).
Mean Training Loss,0.0116,,Mean of the last training losses (convergence indicator).,→ Lower and more stable is better.
Mean Validation Loss,0.0126,,Mean of the last validation losses (generalization indicator).,→ Lower and more stable is better.
Absolute Gap,0.0010,,Absolute difference between mean losses (validation vs training).,→ Ideal: low (small gap).
Gap Percentage (%),8.65,,Percentage difference between mean losses (validation vs training).,→ Ideal: <10% (well-fitted) | <30% (acceptable fit) | >50% (overfitting).
Total Inference Time (ms),260.56,,Total time spent inferring the test set (ms).,→ Lower is better (execution).
Inference Time per Sample (ms),0.13,,Average latency per sample in the test set (ms/sample).,→ Lower is better (latency).
Fit Status,,Well-fitted model (generalization gap < 10%),Fit diagnosis (underfitting/overfitting) based on the training/validation gap.,→ Ideal: 'Well-fitted Model' or 'Possibly well-fitted Model'.
Model Status,,Performance thresholds satisfied,Overall model status based on MSE/RMSE/MAE/R² thresholds (original scale).,→ Ideal: 'Performance thresholds satisfied'.
